T_K,n_pas
830.05,12.6
834.15,12.45
843.95,11.91
855.45,11.4
864.95,11
865.95,10.99
870.75,10.82
880.85,10.38
886.15,10.21
894.55,9.85
896.15,9.83
1109.65,5.01280168333552
1111.45,5.00682320500755
1126.25,4.80509732951984
1177.65,4.22992295977012
1213.95,3.85310834713747
1248.95,3.54205706033742
1288.65,3.22493138126697
1333.15,2.89643523967263
1345.75,2.85361200647064
1395.05,2.50941127431401
1459.05,2.16638449291121
1480.35,2.06236274029915
1508.45,1.9148951513465
1531.55,1.81936751374324
1558.15,1.70671358801678
1568.85,1.66845746679127
1591.05,1.57535319631063
1653.45,1.33370422792078
1703.15,1.16103314818151
1754.85,1.01485926960528
